prompt,rule,seed,move,eat,throw,move_prop,eat_prop,throw_prop
None,selfless,10,49,4,22,0.6533333333333333,0.05333333333333334,0.29333333333333333
None,selfless,2,17,11,47,0.22666666666666666,0.14666666666666667,0.6266666666666667
None,selfless,3,21,10,44,0.28,0.13333333333333333,0.5866666666666667
None,selfless,4,15,11,49,0.2,0.14666666666666667,0.6533333333333333
None,selfless,5,22,11,42,0.29333333333333333,0.14666666666666667,0.56
None,selfless,6,17,11,47,0.22666666666666666,0.14666666666666667,0.6266666666666667
None,selfless,7,26,11,38,0.3466666666666667,0.14666666666666667,0.5066666666666667
None,selfless,8,19,11,45,0.25333333333333335,0.14666666666666667,0.6
None,selfless,9,20,11,44,0.26666666666666666,0.14666666666666667,0.5866666666666667
None,utilitarian,1,20,11,44,0.26666666666666666,0.14666666666666667,0.5866666666666667
None,utilitarian,10,20,11,44,0.26666666666666666,0.14666666666666667,0.5866666666666667
None,utilitarian,2,25,11,39,0.3333333333333333,0.14666666666666667,0.52
None,utilitarian,3,22,11,42,0.29333333333333333,0.14666666666666667,0.56
None,utilitarian,4,14,11,50,0.18666666666666668,0.14666666666666667,0.6666666666666666
None,utilitarian,5,19,11,45,0.25333333333333335,0.14666666666666667,0.6
None,utilitarian,6,27,11,37,0.36,0.14666666666666667,0.49333333333333335
None,utilitarian,7,25,11,39,0.3333333333333333,0.14666666666666667,0.52
None,utilitarian,8,20,11,44,0.26666666666666666,0.14666666666666667,0.5866666666666667
None,utilitarian,9,18,11,46,0.24,0.14666666666666667,0.6133333333333333
selfish,selfish,1,58,17,0,0.7733333333333333,0.22666666666666666,0.0
selfish,selfish,10,53,22,0,0.7066666666666667,0.29333333333333333,0.0
selfish,selfish,2,63,12,0,0.84,0.16,0.0
selfish,selfish,3,56,19,0,0.7466666666666667,0.25333333333333335,0.0
selfish,selfish,4,55,20,0,0.7333333333333333,0.26666666666666666,0.0
selfish,selfish,5,57,18,0,0.76,0.24,0.0
selfish,selfish,6,51,24,0,0.68,0.32,0.0
selfish,selfish,7,53,21,0,0.7066666666666667,0.28,0.0
selfish,selfish,8,58,17,0,0.7733333333333333,0.22666666666666666,0.0
selfish,selfish,9,54,21,0,0.72,0.28,0.0
selfish,selfless,1,51,24,0,0.68,0.32,0.0
selfish,selfless,10,56,19,0,0.7466666666666667,0.25333333333333335,0.0
selfish,selfless,2,51,23,1,0.68,0.30666666666666664,0.013333333333333334
selfish,selfless,3,52,23,0,0.6933333333333334,0.30666666666666664,0.0
selfish,selfless,4,55,20,0,0.7333333333333333,0.26666666666666666,0.0
selfish,selfless,5,48,27,0,0.64,0.36,0.0
selfish,selfless,6,50,25,0,0.6666666666666666,0.3333333333333333,0.0
selfish,selfless,7,47,28,0,0.6266666666666667,0.37333333333333335,0.0
selfish,selfless,8,51,23,1,0.68,0.30666666666666664,0.013333333333333334
selfish,selfless,9,51,24,0,0.68,0.32,0.0
selfish,utilitarian,1,54,21,0,0.72,0.28,0.0
selfish,utilitarian,10,54,21,0,0.72,0.28,0.0
selfish,utilitarian,2,54,21,0,0.72,0.28,0.0
selfish,utilitarian,3,55,20,0,0.7333333333333333,0.26666666666666666,0.0
selfish,utilitarian,4,51,24,0,0.68,0.32,0.0
selfish,utilitarian,5,53,22,0,0.7066666666666667,0.29333333333333333,0.0
selfish,utilitarian,6,56,19,0,0.7466666666666667,0.25333333333333335,0.0
selfish,utilitarian,7,55,20,0,0.7333333333333333,0.26666666666666666,0.0
selfish,utilitarian,8,50,25,0,0.6666666666666666,0.3333333333333333,0.0
selfish,utilitarian,9,53,22,0,0.7066666666666667,0.29333333333333333,0.0
